ID,Year,State,Question No,Question,A,B,C,D,Correct,Strict Verification
62,2023,AP,101,Assume that all the numbers are represented in 2’s complement. then which of the following is divisible by 11111011?,11100100,11100111,11010111,11011011,B,YES
63,2023,AP,102,"If (73)ₓ = (54)ᵧ in a number system, then the possible values of x and y are:","8,11","8,16","10,12","9,13",A,YES
64,2023,AP,103,Number of states ring counter with 5 flipflops will have?,10,15,5,32,C,YES
65,2023,AP,104,n-bit 2’s complement number system range for integers is:,−2^(n−1) to (2^(n−1)−1),−(2^(n−1)−1) to (2^(n−1)−1),−2^(n−1) to 2^(n−1),−(2^(n−1)+1) to (2^(n−1)−1),A,YES
66,2023,AP,105,Which of the following are Universal Gates,"NAND, NOR","OR, XNOR","NAND, XOR","AND, OR",A,YES
67,2023,AP,106,The Fastest Logic Family Gate is,ECL,CMOS,TTL,ETL,A,YES
68,2023,AP,107,How many 4 × 1 multiplexers are required to design an 8 × 1 multiplexer?,2,3,5,8,A,YES
69,2023,AP,108,Which Flip Flop is free from race around problem,RS flip-flop,SR flip-flop,JK flip-flop,Master-slave JK flip-flop,D,YES
70,2022,TS,101,How many NOR gates are needed to construct AND gate,4,3,2,1,B,YES
71,2022,TS,102,"A serial in/parallel out, 4-bit shift register initially contains all 1s. The data nibble 0111 is waiting to enter. After four clock pulses, the register contains:",0000,1111,0111,1000,C,YES
72,2022,TS,103,The toggle condition ina master-slave J-K flip-flop means that Q and Q will switch to their ------------ state(s) at the ---------------.,"opposite, active clock edge","inverted, positive clock edge","quiescent, negative clock edge","reset, synchronous clock edge",A,YES
73,2022,TS,104,Which of the following is a type of shift register counter?,Decade,Binary,Ring,BCD,C,YES
74,2022,TS,105,Select the statement that best describes Read-Only Memory (ROM).,"Nonvolatile, used to store information that changes during system operation","Nonvolatile, used to store information that does not change during system operation","Volatile, used to store information that changes during system operation","Volatile, used to store information that does not change during system operation",B,YES
75,2022,TS,106,The following is one of the applications of a digital multiplexer:,Data generation,Serial-to-parallel conversion,Parity checking,Data selector,D,YES
76,2022,TS,107,A circuit that responds to a specific set of signals to produce a related digital signal output is called a(n):,BCD matrix,Display driver,Encoder,Decoder,D,YES
77,2022,TS,108,Which of the following is the output of (A B̅(A + C̅)) + A̅B(A + B + C)?,A̅ + B(1 + A̅C),A̅ + B,B̅ + A,A̅ + B̅,B,YES
78,2022,TS,109,While forming groups in K-mapping the Don't care states are combined along with terms of,Minterms,Maxterms,Don't-care terms,SOP/POS,A,YES
79,2022,TS,110,What is the disadvantage of an S-R Flip-Flop,It has no enable input,It has a race condition,It has no clock input,Invalid state,D,YES
80,2022,AP,101,(1E.42)₁₆ = (?)₈,36.204,36.202,74.204,74.202,A,YES
81,2022,AP,102,Which logic gates among the following options can be used to create any Boolean function economically?,"XOR, NAND, OR","OR, NOT, XOR","NOR, NAND, XOR","NOR, NAND",D,YES
82,2022,AP,103,101001 - 010110 =?,100110,010011,010010,011001,B,YES
83,2022,AP,104,DeMorgan's theorem states that,(A+B)'=A'B' and (AB)'=A'+B',(A+B)'=A'+B' and (AB)'=AB,(A+B)'=A+B and (AB)'=A+B,(A+B)'=AB and (AB)'=A+B,A,YES
84,2022,AP,105,When will JK flip flop toggle the input?,"J=0,K=0","J=0,K=1","J=1,K=0","J=1,K=1",D,YES
85,2022,AP,106,If the total number of transistors fabricated on a single chip is in the range of 300 to 3000. which integrated circuit do you prefer?,VLSI,SSI,LSI,MSI,C,YES
86,2022,AP,107,The binary equivalent of 0.6875 is --------,0.1011,0.0101,0.1001,0.0011,A,YES
87,2022,AP,108,Which is the DeMorgan’s gate equivalent to OR?,Negative NOR,Negative NAND,Negative AND,Negative OR,B,YES
88,2021,TS,101,Which gate’s output is equal to 1 if the input variables have an odd number of 1’s?,NOR,NAND,XOR,XNOR,C,YES
89,2021,TS,102,Which of the following gate acts as a controlled inverter?,NAND,EX-OR,NOR,EX-NOR,B,YES
90,2021,TS,103,Which Multiplexer IC is used for implementing a full adder or a full subtractor? i) SN74151 ii) SN74153 iif) iv) T4LS153,(i) only,(i) & (iii),(ii) only,(ii) & (iv),D,YES
91,2021,TS,104,"The simplified form of the Boolean function F(w,x,y,z)=Σ(0,1,2,4,5,6,8,9,12,13,14) is:",y′ + w′z′ + xz′,w′ + w′x′ + yz′,x′ + w′z′ + yz,y + wz + x′z,A,YES
92,2021,TS,105,Race around problem in a JK Flip flop is,Q=1 & Q̅=1,Q=0 & Q̅=0,Toggling more than once during a clock cycle,Q is neither 0 nor 1,C,YES
93,2021,TS,106,Logic gates with a set of inputs and outputs is arrangement of,Combinational circuit,Logic circuit,Design circuits,Register,A,YES
94,2021,TS,107,"In which circuit, chain of flipflops is connected in cascade to receive a common clock pulse?",Demultiplexer,Register,Counter,Shift register,D,YES
95,2021,AP,101,How many flip flops are required for the mod-16 counter?,2,4,6,3,B,YES
96,2021,AP,102,EPROM contents can be erased by exposing them to,Burst of microwaves,Intense heat radiation,Infrared rays,Ultraviolet rays,D,YES
97,2021,AP,103,The digital logic family which has minimum power dissipation is,ECL,DTL,CMOS,RTL,C,YES
98,2021,AP,104,"If the input to T-flipflop is 100 Hz signal, the final output of the two T- flipflops in cascade is",1000 Hz,50 Hz,25 Hz,200 Hz,C,YES
99,2021,AP,105,The device which changes from serial data to parallel data is,Demultiplexer,Multiplexer,Counter,Flip-flop,A,YES
100,2021,AP,106,"When simplified with Boolean Algebra, (x + y)(x + z) simplifies to",x(1+yz),x+y z,x+x(y+z),x,B,YES
101,2021,AP,107,The 2°s complement of the number 1101101 is,0010011,0110010,0111110,0101110,A,YES
102,2021,AP,108,The decimal equivalent of hex number 1A53 is,6739,6793,6973,6379,A,YES
103,2020,TS,101,The output of NOR gate is,High if all inputs are high,High if all inputs are low,Low if all inputs are low,Low if all inputs are high,D,YES
104,2020,TS,108,A 4-variable Karnaugh map will contain ____ cells.,2,4,8,16,D,YES
105,2020,TS,109,f = (xyz + x′yz + xyz′ + …) is called as,sum of the squares,product of the sums,sum of products,products of the squares,C,YES
106,2020,TS,110,Karnaugh map is a tool for representing Boolean functions of up to ____ variables.,2,4,5,6,D,YES
107,2019,TS,103,"When J = K = 1, then JK flip-flop functions like a/an",D flip-flop,S-R flip-flop,NAND gate,T flip-flop,D,YES
108,2019,TS,105,Which of the following are employed in digital computers for generating binary control decisions?,Combinational circuits,Sequential circuits,Binary counters,Segment registers,A,YES
109,2019,TS,106,Which of the following is the maximum number of prime implicants possible for an n-variable Boolean function?,2^(n−1),2n,2^(n+1),2^n,A,YES
110,2019,TS,107,"A simplified form of the Boolean function F(A,B,C) = Σ(0,2,4,5,6) is",F = BC + AC′,F = C′ + AB′,F = BC + AC,F = A′ + BC,B,YES
111,2019,TS,108,Which digital logic family is suitable for circuits that need high component density?,TTL,ECL,MOS,CMOS,C,YES
112,2019,TS,110,A three-input decoder has ______ outputs.,4,8,12,6,B,YES
113,2019,TS,111,What is the maximum possible range of sequence for Mod-16 binary up-counter?,0 to 256,0 to 255,0 to 15,0 to 16,C,YES
114,2019,AP,101,Which among the following was the first version in the TTL family?,Standard,Low-power,Schottky,Fast,A,YES
115,2019,AP,102,The logical sum of all the minterms of a Boolean function of n variables is,0,1,n,n(n+1)/2,B,YES
116,2019,AP,103,Circuits that generate the parity bit in the receiver and transmitter are called _____ and _____ respectively.,"Parity checker, Parity Generator","Parity Generator, Parity checker","Parity Generator, Parity encoder","Parity encoder, parity decoder",A,YES
117,2019,AP,104,The characteristic equation for the complement output of a JK flip-flop is,Q′(t+1) = J′Q′ + KQ,Q′(t+1) = J′Q′ + KQ′,Q′(t+1) = J′Q + KQ′,Q′(t+1) = J′Q + K′Q′,C,YES
118,2019,AP,105,If the register has both shifts and parallel load capabilities that is referred to as,Universal shift register,Unidirectional shift register,Bidirectional shift register,Parallel shift register,A,YES
119,2019,AP,106,The capacity of a memory unit is usually stated as the total number of ______ that it can store.,Words,Bytes,Addresses,Bits,D,YES
120,2019,AP,107,Which among the following offers shorter read and write cycles?,Fast RAM,Commercial RAM,Static RAM,Dynamic RAM,C,YES
121,2019,AP,108,4-to-16 line decoder can be constructed with ____ 2-to-4 line decoders with enable.,4,2,5,8,C,YES
122,2018,TS,101,How many select lines are required for a 1-to-8 demultiplexer?,2,3,4,5,B,YES
123,2018,TS,102,The code where all successive numbers differ from their preceding number by a single bit is,Binary code,BCD,Excess-3,Gray,D,YES
124,2018,TS,103,Which of the following is a universal logic gate?,OR,AND,XOR,NAND,D,YES
125,2018,TS,104,How many two-input AND gates and two-input OR gates are required to realize Y = BD + CE + AB?,"1,1","4,2","3,2","2,3",C,YES
126,2018,TS,105,Which of the following is the fastest logic family?,TTL,ECL,DTL,CMOS,B,YES
127,2018,TS,106,"A simplified Sum of Products expression for F(W,X,Y,Z)=Σ(0,2,4,8,9,10,11,12,13) is",X̅Z̅ + Y̅Z̅ + WX̅ + WY̅,XZ + YZ + WX + WY,X̅Y + YZ̅ + ZX + WX̅,WXY + XYZ + WYZ,A,YES
128,2018,TS,107,How many entries are there in the truth table of a 4-input NAND gate?,8,16,12,4,B,YES
129,2018,TS,108,Which of the following inputs is not accepted by SR flip-flop?,"R=1, S=1","R=0, S=0","R=0, S=1","R=1, S=0",A,YES
130,2018,TS,109,How many flip-flops are required to construct a decade counter?,4,8,5,10,A,YES
131,2018,TS,110,Which technique is used by EPROM for erasing purpose?,Force convection,Ultraviolet radiation,Photo-conduction,Electromagnetic waves,B,YES
132,2018,TS,111,Which of the following is the major functioning responsibility of the multiplexer?,Decoding the binary information,Generation of all minterms in an output function,Generation of selected path between multiple sources and a single destination,Generation of selected path between single source and multiple destinations,C,YES
133,2018,TS,112,"The sum output bit for a full adder with inputs X, Y, Cᵢ is",X̅YC̅ᵢ + XYCᵢ,X̅YCᵢ + X̅Y̅C̅ᵢ + XY̅C̅ᵢ + XYCᵢ,XYCᵢ + XY + YCᵢ,X̅Y̅ + Y̅Cᵢ,B,YES
134,2017,TS,8,[(A + A′B)(A + A′B′)][(CD + C′D′) + (C′D + CD′)] can be minimized as,B,A,0,1,B,YES
135,2017,TS,9,"When grouping cells within a K-map, the cells must be combined in groups of",2,4,8,"1, 2, 4, 8, etc.",D,YES
136,2017,TS,10,"The simultaneous equations of Boolean variables x, y, z and w are: x+y+z=1, xy=0, xz+w=1 and xy+(zw)′=0. The solution for x,y,z,w respectively is",0100,1101,1011,1000,C,YES
137,2017,TS,11,The widely adapted combination circuit implementation method with maximum output functions and minimum requirement of ICs is,Multiplexer,Decoder,Encoder,Parity Generator,B,YES
138,2017,TS,12,"A synchronous sequential circuit consists of two cascaded D flip-flops with D0=Q1′, D1=Q0. The logic states of Q0 and Q1 immediately after the 777th clock pulse will be",1,10,100,778,B,YES
139,2017,TS,13,"A synchronous counter consists of two cascaded JK flip-flops with J0=Q1′, J1=Q0, K0=K1=1. The circuit represents",Mod-3 counter,Mod-4 counter,Mod-5 counter,Mod-7 counter,A,YES
140,2017,TS,14,"The initial contents of the 4-bit serial-in-parallel-out right shift register are 0110. After three clock cycles, the contents are",0000,1010,0101,1111,B,YES
141,2017,TS,15,"A 4-bit shift register in which the outputs of 3rd and 4th flip-flops are connected parallel through an EX-OR gate back to the first flip-flop input. If initially all flip-flop outputs are 1s, the circuit produces output sequence",1111 1111 0000 0000,1111 0000 1111 0000,1111 0001 0011 0101,1010 1010 1010 1010,C,YES
142,2016,TS,25,Which of the following is functionally complete set?,"{AND, OR}","{NAND, NOR}",{NAND},"{NOR, NOT}",B,YES
143,2016,TS,26,Which property holds true for NAND and NOR operations?,Both associative and commutative,Commutative only,Associative only,Transitive only,B,YES
144,2016,TS,27,"What is the simplified expression with minimum number of literals for F(x,y,z)=x′y′z + xy′z + xyz?",y′z + xz,y′z + x′y′z + xyz,yz + x′y′,yz + x′y′z,A,YES
145,2016,TS,28,Which of the following is an idempotence law?,x+xy=x,x(x+y)=x,x+x=x,1+x=1,C,YES
146,2016,TS,29,"To design an 8×1 multiplexer using 2×1 multiplexers only, how many 2×1 multiplexers are required?",7,6,5,4,A,YES
147,2016,TS,30,How many Boolean functions can be formed with 3 variables?,8,16,256,32,C,YES
148,2016,TS,31,"To design a counter for the sequence 1,2,3,4,5,6,7,8,1,2,3,... how many flip-flops are required?",3,4,5,2,A,YES
149,2016,TS,32,"How many bits are required to code the 26 alphabets, 10 digits and 10 special characters?",6,5,4,16,A,YES
150,2016,TS,33,The systematic reduction of logic circuits is accomplished by,Using Boolean algebra,Symbolic reduction,TTL logic,Using a truth table,A,YES
151,2016,TS,34,How many 1s are present in the binary representation of 15×256 + 5×16 + 3?,2,5,10,8,D,YES
152,2016,TS,35,Which one of the following Boolean expressions is not logically equivalent to all other expressions?,wxy′ + wz′ + wxyz + wy′z,wx + wy′ + wyz′,wx + wy′ + wz,w′ + x + y′ + z′,D,YES
153,2016,TS,36,What is the additional logic required to convert D flip-flop into T flip-flop?,D = TQ,D = T,D = T + Q,D = T ⊕ Q,D,YES
